"x","y","uniquesquirrelid","hectare","shift","date","hectaresquirrelnumber","age","primaryfurcolor","highlightfurcolor","combinationofcolors","colornotes","location","abovegroundsightermeasurement","specificlocation","running","chasing","climbing","eating","foraging","otheractivities","kuks","quaas","moans","tailflags","tailtwitches","approaches","indifferent","runsfrom","otherinteractions","latlon","zipcodes","communitydistricts","boroughboundaries","citycouncildistricts","policeprecincts"
"-73.9772636","40.7709429","6B-PM-1017-03","06B","PM",10172018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9772635911119 40.7709428872533)",NULL,19,4,19,13
"-73.9730116","40.7741018","10D-AM-1008-05","10D","AM",10082018,5,"Juvenile","Gray","White","Gray+White",NULL,"Above Ground","25",NULL,False,False,True,True,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9730115687964 40.7741018274312)",NULL,19,4,19,13
"-73.9730112","40.7782158","14B-PM-1014-05","14B","PM",10142018,5,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9730111650468 40.7782157736204)",NULL,19,4,19,13
"-73.9790011","40.7685732","2C-PM-1013-09","02C","PM",10132018,9,"Adult",NULL,NULL,"+",NULL,"Ground Plane","FALSE",NULL,False,False,True,False,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9790010565108 40.7685732369544)",NULL,19,4,19,13
"-73.9582524","40.7996897","41A-PM-1007-05","41A","PM",10072018,5,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,True,False,True,False,False,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9582523503306 40.7996897499473)",NULL,19,4,19,13
"-73.9706642","40.7759229","13E-AM-1017-12","13E","AM",10172018,12,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9706641770728 40.7759229213762)",NULL,19,4,19,13
"-73.9693458","40.7770430","15E-AM-1013-02","15E","AM",10132018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Above Ground","20",NULL,True,False,True,False,False,NULL,False,False,False,False,False,True,False,False,NULL,"POINT (-73.969345754447 40.7770429650288)",NULL,19,4,19,13
"-73.9808542","40.7678702","1B-AM-1012-17","01B","AM",10122018,17,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,True,True,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.98085422862802 40.7678702158382)",NULL,19,4,19,13
"-73.9529413","40.7920963","36I-PM-1007-06","36I","PM",10072018,6,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9529413156461 40.7920963446605)",NULL,19,4,19,13
"-73.9682144","40.7773071","15F-AM-1007-08","15F","AM",10072018,8,"Adult","Cinnamon","White","Cinnamon+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9682144039334 40.7773070675393)",NULL,19,4,19,13
"-73.9743342","40.7727743","8D-AM-1007-08","08D","AM",10072018,8,"Adult","Gray",NULL,"Gray+",NULL,"Above Ground","15",NULL,False,False,False,False,False,"communicating from tree",False,False,False,False,False,False,False,False,NULL,"POINT (-73.97433423035481 40.7727742948332)",NULL,19,4,19,13
"-73.9584942","40.7995009","41A-AM-1013-01","41A","AM",10132018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,True,False,False,False,False,"ran across a path",False,False,False,False,False,False,True,False,NULL,"POINT (-73.958494212554 40.7995008636057)",NULL,19,4,19,13
"-73.9697984","40.7700677","8I-PM-1013-09","08I","PM",10132018,9,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9697983725608 40.7700677022205)",NULL,19,4,19,13
"-73.9697197","40.7814069","19B-AM-1019-01","19B","AM",10192018,1,"Juvenile","Gray","Cinnamon, White","Gray+Cinnamon, White","Side stripes","Ground Plane","FALSE",NULL,True,False,False,True,False,NULL,False,False,False,False,False,False,True,True,"indifferent then runs from","POINT (-73.9697196619878 40.7814068507607)",NULL,19,4,19,13
"-73.9706852","40.7780777","15D-PM-1017-04","15D","PM",10172018,4,"Adult","Cinnamon",NULL,"Cinnamon+",NULL,"Above Ground","2","on fence",True,False,False,False,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9706851546184 40.7780777016038)",NULL,19,4,19,13
"-73.9704758","40.7763348","13E-AM-1017-02","13E","AM",10172018,2,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,"begging (came one yard away from me and stood there)",False,False,False,False,False,True,False,False,NULL,"POINT (-73.970475755546 40.7763348062134)",NULL,19,4,19,13
"-73.9777259","40.7682060","3D-PM-1010-10","03D","PM",10102018,10,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9777259022441 40.7682059907903)",NULL,19,4,19,13
"-73.9716882","40.7785535","15C-PM-1017-02","15C","PM",10172018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Above Ground","0",NULL,False,False,True,False,False,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9716881838671 40.778553537087)",NULL,19,4,19,13
"-73.9633251","40.7922155","32A-PM-1013-09","32A","PM",10132018,9,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9633250636501 40.7922155082679)",NULL,19,4,19,13
"-73.9674181","40.7764595","15G-AM-1008-05","15G","AM",10082018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.967418114684 40.7764595360054)",NULL,19,4,19,13
"-73.9771695","40.7724277","7B-AM-1008-03","07B","AM",10082018,3,"Adult","Gray",NULL,"Gray+",NULL,"Above Ground","5",NULL,False,True,False,False,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9771695272048 40.7724277276263)",NULL,19,4,19,13
"-73.9699675","40.7773013","15E-PM-1008-07","15E","PM",10082018,7,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9699675160516 40.7773012642758)",NULL,19,4,19,13
"-73.9758960","40.7694126","4D-PM-1008-01","04D","PM",10082018,1,"Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9758959798289 40.7694125671679)",NULL,19,4,19,13
"-73.9607608","40.7954688","36A-PM-1013-06","36A","PM",10132018,6,NULL,"Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE","EDGE OF WOODS",False,False,False,True,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9607608482656 40.7954687648248)",NULL,19,4,19,13
"-73.9753284","40.7733044","8C-PM-1013-02","08C","PM",10132018,2,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,True,False,False,True,False,NULL,"POINT (-73.9753283783695 40.7733043910649)",NULL,19,4,19,13
"-73.9785301","40.7721128","6A-AM-1006-07","06A","AM",10062018,7,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,True,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.9785300509908 40.7721127748427)",NULL,19,4,19,13
"-73.9540022","40.7979410","41E-AM-1007-01","41E","AM",10072018,1,"Adult","Gray","White","Gray+White","white haunches","Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9540022445432 40.7979409854977)",NULL,19,4,19,13
"-73.9608757","40.7906687","31D-AM-1014-06","31D","AM",10142018,6,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9608757424052 40.7906686504657)",NULL,19,4,19,13
"-73.9603620","40.7955966","36B-AM-1013-02","36B","AM",10132018,2,NULL,"Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,True,False,False,False,False,NULL,False,False,False,False,False,False,False,False,"didn't see me","POINT (-73.9603620122205 40.7955965755851)",NULL,19,4,19,13
"-73.9801902","40.7695576","3A-AM-1012-03","03A","AM",10122018,3,"Juvenile","Gray","Black, Cinnamon","Gray+Black, Cinnamon","Gray & Cinnamon selected as Primary. Black selected as Highlights. Made executive adjustments.","Above Ground","1",NULL,False,False,True,False,False,NULL,False,False,False,False,True,False,False,True,NULL,"POINT (-73.9801902133148 40.769557595068)",NULL,19,4,19,13
"-73.9590777","40.7926046","34D-AM-1008-02","34D","AM",10082018,2,"Adult","Black",NULL,"Black+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.959077668148 40.7926045823346)",NULL,19,4,19,13
"-73.9576559","40.7992599","41B-AM-1010-09","41B","AM",10102018,9,"Adult","Gray",NULL,"Gray+",NULL,"Above Ground","3",NULL,False,True,False,False,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9576559099012 40.7992598626483)",NULL,19,4,19,13
"-73.9545951","40.7956568","39F-AM-1014-04","39F","AM",10142018,4,"Juvenile","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.954595058342 40.7956567934304)",NULL,19,4,19,13
"-73.9580105","40.7974468","39C-PM-1006-03","39C","PM",10062018,3,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9580105174865 40.7974468322692)",NULL,19,4,19,13
"-73.9557264","40.7939506","37F-PM-1014-02","37F","PM",10142018,2,"Juvenile","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE","LAWN",False,False,False,True,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.95572635334891 40.7939505791448)",NULL,19,4,19,13
